run_id,n_params,n_tokens,train_flops,val_loss
run000,1000000,10000000,60000000000000,9.9346
run001,1000000,30000000,180000000000000,8.6942
run002,1000000,100000000,600000000000000,7.8699
run003,1000000,300000000,1800000000000000,7.1589
run004,1000000,1000000000,6000000000000000,6.5759
run005,1000000,3000000000,18000000000000000,6.3641
run006,1000000,10000000000,60000000000000000,6.2174
run007,1000000,30000000000,180000000000000000,5.9975
run008,3000000,10000000,180000000000000,8.632
run009,3000000,30000000,540000000000000,7.3729
run010,3000000,100000000,1800000000000000,6.5325
run011,3000000,300000000,5400000000000000,5.9936
run012,3000000,1000000000,18000000000000000,5.2419
run013,3000000,3000000000,54000000000000000,5.1405
run014,3000000,10000000000,180000000000000000,4.7814
run015,3000000,30000000000,540000000000000000,4.6609
run016,10000000,10000000,600000000000000,7.8119
run017,10000000,30000000,1800000000000000,6.6627
run018,10000000,100000000,6000000000000000,5.8051
run019,10000000,300000000,18000000000000000,5.2398
run020,10000000,1000000000,60000000000000000,4.6226
run021,10000000,3000000000,180000000000000000,4.4253
run022,10000000,10000000000,600000000000000000,3.9916
run023,10000000,30000000000,1800000000000000000,3.9
run024,30000000,10000000,1800000000000000,7.5037
run025,30000000,30000000,5400000000000000,6.1885
run026,30000000,100000000,18000000000000000,5.1522
run027,30000000,300000000,54000000000000000,4.5195
run028,30000000,1000000000,180000000000000000,4.069
run029,30000000,3000000000,540000000000000000,3.7946
run030,30000000,10000000000,1800000000000000000,3.4467
run031,30000000,30000000000,5400000000000000000,3.3307
run032,100000000,10000000,6000000000000000,6.9554
run033,100000000,30000000,18000000000000000,5.8481
run034,100000000,100000000,60000000000000000,4.8585
run035,100000000,300000000,180000000000000000,4.2419
run036,100000000,1000000000,600000000000000000,3.6664
run037,100000000,3000000000,1800000000000000000,3.3775
run038,100000000,10000000000,6000000000000000000,3.1747
run039,100000000,30000000000,18000000000000000000,3.0425
run040,300000000,10000000,18000000000000000,6.5687
run041,300000000,30000000,54000000000000000,5.7142
run042,300000000,100000000,180000000000000000,4.7217
run043,300000000,300000000,540000000000000000,4.0331
run044,300000000,1000000000,1800000000000000000,3.4917
run045,300000000,3000000000,5400000000000000000,3.1252
run046,300000000,10000000000,18000000000000000000,2.9693
run047,300000000,30000000000,54000000000000000000,2.82
run048,1000000000,10000000,60000000000000000,6.7978
run049,1000000000,30000000,180000000000000000,5.5077
run050,1000000000,100000000,600000000000000000,4.449
run051,1000000000,300000000,1800000000000000000,3.701
run052,1000000000,1000000000,6000000000000000000,3.294
run053,1000000000,3000000000,18000000000000000000,3.005
run054,1000000000,10000000000,60000000000000000000,2.6361
run055,1000000000,30000000000,180000000000000000000,2.5526
